sample	n_sites	lm_r2	lm_f	lm_p	cor_tau	cor_p
1	Australian	476538	0.3219774457	10.922175382	0.0030937135381	 0.43333333	0.0020190084614
2	Dinka	476184	0.4895154568	22.055232927	0.0000992280456	 0.53333333	0.0001015579917
3	French	476387	0.6311429063	39.354772059	0.0000021159386	 0.61333333	0.0000047626243
4	Han	476396	0.6401450722	40.914645111	0.0000015826192	 0.62000000	0.0000035714290
5	Karitiana	476308	0.3997227878	15.315630732	0.0006971529425	 0.48000000	0.0005531229582
6	Mbuti	476488	0.6960670666	52.674589605	0.0000002186111	 0.69333333	0.0000000996364
7	Papuan	476372	0.1178898898	 3.073842407	0.0928812249915	 0.22666667	0.1183434182454
8	San	476489	0.3506957250	12.422529752	0.0018159531679	 0.47333333	0.0006723102178
9	Sardinian	476438	0.5725002581	30.801202069	0.0000120516774	 0.54666667	0.0000638741655
10	Ust-Ishim	476687	0.0019513723	 0.044969314	0.8339284802879	-0.02666667	0.8715144058187
11	Yoruba	476467	0.2971403591	 9.723460931	0.0048338368378	 0.42000000	0.0028388095422
12	Afontova Gora	 59417	0.1013585491	 2.594189959	0.1208964022037	-0.19333333	0.1850582747780
13	Dolni Vestonice 13	 22727	0.0013214374	 0.030433276	0.8630372502017	-0.01333333	0.9447431182316
14	Dolni Vestonice 15	  3629	0.0508433199	 1.232037220	0.2784817550545	-0.16415618	0.2519857174183
15	Dolni Vestonice 16	 60614	0.0033266224	 0.076767692	0.7842014278405	-0.12000000	0.4176309114337
16	Dolni Vestonice 43	 23183	0.0363487997	 0.867557052	0.3613071444430	 0.10000000	0.5021679313286
17	El Miron	153759	0.2709915545	 8.549703083	0.0076335920358	 0.28666667	0.0463099189649
18	Grotta	  1056	0.0003356922	 0.007723514	0.9307299610845	 0.00000000	1.0000000000000
19	Kostenki12	  1206	0.0041899811	 0.096775050	0.7585365683154	 0.01134704	0.9405781134663
20	Kostenki14	166733	0.1018424128	 2.607978296	0.1199636608885	-0.17333333	0.2362967177405
21	Muierii	 13828	0.0267344100	 0.631781742	0.4348284337878	 0.12666667	0.3913909170310
22	Oase1	 37614	0.0284711199	 0.674026033	0.4200800059576	 0.09333333	0.5321916402284
23	Oase1 deam nonUSER L35MQ37 majority call	 37486	0.0271945601	 0.642959894	0.4308481365327	 0.09333333	0.5321916402284
24	Ostuni 1	 54537	0.1599365123	 4.378883069	0.0476161772585	 0.24000000	0.0975460340832
25	Ostuni 2	  1629	0.1017676792	 2.605847693	0.1201072354947	 0.23909277	0.1102002568507
26	Pavlov 1	  5652	0.0001148711	 0.002642338	0.9594476904821	 0.04666667	0.7638450161402
27	Villabruna	170045	0.3106159660	10.363116733	0.0038003273822	 0.42666667	0.0023977834226
